epoch,triplet_loss,avg_pos_dist,avg_neg_dist,margin,verification_accuracy
1,0.5550748667120934,0.31291747,0.8997229,0.5868054,0.7913333333333333
2,0.444622716486454,0.36602503,1.1421913,0.77616626,0.822
3,0.4130657732486725,0.35672286,1.1798476,0.82312477,0.8323333333333334
4,0.3967396985689799,0.3621365,1.1843824,0.82224596,0.849
5,0.36572769782940545,0.39399797,1.2366693,0.84267133,0.8703333333333333
6,0.33339708775281907,0.40107724,1.2699461,0.8688688,0.8953333333333333
7,0.3362932544151942,0.4322855,1.2847415,0.85245603,0.8976666666666666
8,0.319318619231383,0.41692266,1.2941047,0.877182,0.9006666666666666
9,0.29732896210749943,0.42267367,1.333665,0.9109913,0.9093333333333333
10,0.2920845606525739,0.42940852,1.3434911,0.9140825,0.9096666666666666
11,0.3361868124206861,0.4125916,1.2669069,0.8543153,0.8896666666666667
12,0.3006437864700953,0.41208822,1.3153841,0.90329593,0.9083333333333333
13,0.3125829602877299,0.4154459,1.3047365,0.8892906,0.9043333333333333
14,0.30506918593247734,0.4289349,1.3284318,0.8994969,0.9023333333333333
15,0.2810397828420003,0.42386857,1.3545601,0.9306916,0.919
16,0.3053605394164721,0.42074984,1.3236265,0.9028767,0.9023333333333333
17,0.3036756073435148,0.4349784,1.3273826,0.8924042,0.906
18,0.2756161350806554,0.42364627,1.3679198,0.94427353,0.9073333333333333
19,0.2859838173985481,0.41875416,1.3369913,0.91823715,0.911
20,0.2952325732310613,0.42893916,1.3301989,0.9012597,0.9083333333333333
